ID,Name,Category,Price,Quantity
19,Ноутбук Dell,Аксессуары,9095.03,98
14,Йога-мат,Аксессуары,7731.62,97
13,Конструктор LEGO,Аксессуары,8937.74,94
2,Кукла Barbie,Электроника,1478.65,79
8,Кукла Barbie,Электроника,7368.23,77
6,Чайник электрический,Аксессуары,1836.74,69
20,Сковорода антипригарная,Одежда,3039.15,67
12,Монитор LG,Красота,5136.51,65
10,Английский словарь,Игрушки,7189.93,58
15,Смартфон Samsung,Одежда,1690.84,58
4,Наушники Sony,Одежда,1708.15,51
7,Наушники Sony,Игрушки,5913.19,47
16,Джинсы классические,Одежда,4922.59,46
18,Джинсы классические,Аксессуары,4415.07,31
1,Зубная паста,Книги,4300.88,30
3,Детская энциклопедия,Аксессуары,1812.67,25
17,Принтер HP,Одежда,3616.75,22
9,Клавиатура механическая,Спорт,8073.03,19
5,Сковорода антипригарная,Одежда,9219.99,7
11,Крем для лица,Красота,2362.79,5
